일자,지역,성별,연령,분야,건수
2025-08,부산광역시,여성,30,수자원,5
2025-08,부산광역시,여성,30,외무통일,1
2025-08,부산광역시,여성,30,우정,2
2025-08,부산광역시,여성,30,재정,9
2025-08,부산광역시,여성,30,주택_건축,25
2025-08,부산광역시,여성,30,체육,10
2025-08,부산광역시,여성,30,해양수산,2
2025-08,부산광역시,여성,30,행정_안전,81
2025-08,부산광역시,여성,30,환경,19
2025-08,부산광역시,여성,40,경찰_검찰_법원,58
2025-08,부산광역시,여성,40,과학기술,7
2025-08,부산광역시,여성,40,관광,11
2025-08,부산광역시,여성,40,교육,52
2025-08,부산광역시,여성,40,교통,73
2025-08,부산광역시,여성,40,국방,4
2025-08,부산광역시,여성,40,기타,20
2025-08,부산광역시,여성,40,노동,16
2025-08,부산광역시,여성,40,농림_축산,7
2025-08,부산광역시,여성,40,도로,24
2025-08,부산광역시,여성,40,도시,6
2025-08,부산광역시,여성,40,문화,6
2025-08,부산광역시,여성,40,방송통신,15
2025-08,부산광역시,여성,40,보건,28
2025-08,부산광역시,여성,40,복지,17
2025-08,부산광역시,여성,40,산업_통상,37
2025-08,부산광역시,여성,40,세무,12
2025-08,부산광역시,여성,40,수자원,13
2025-08,부산광역시,여성,40,외무통일,3
2025-08,부산광역시,여성,40,우정,1
2025-08,부산광역시,여성,40,재정,19
2025-08,부산광역시,여성,40,주택_건축,59
2025-08,부산광역시,여성,40,체육,14
2025-08,부산광역시,여성,40,해양수산,1
2025-08,부산광역시,여성,40,행정_안전,69
2025-08,부산광역시,여성,40,환경,18
2025-08,부산광역시,여성,50,경찰_검찰_법원,82
2025-08,부산광역시,여성,50,과학기술,10
2025-08,부산광역시,여성,50,관광,4
2025-08,부산광역시,여성,50,교육,32
2025-08,부산광역시,여성,50,교통,44
2025-08,부산광역시,여성,50,국방,4
2025-08,부산광역시,여성,50,기타,14
2025-08,부산광역시,여성,50,노동,8
2025-08,부산광역시,여성,50,농림_축산,5
2025-08,부산광역시,여성,50,도로,20
2025-08,부산광역시,여성,50,도시,13
2025-08,부산광역시,여성,50,문화,11
2025-08,부산광역시,여성,50,방송통신,3
2025-08,부산광역시,여성,50,보건,14
2025-08,부산광역시,여성,50,복지,9
2025-08,부산광역시,여성,50,산업_통상,92
2025-08,부산광역시,여성,50,세무,5
